dNumb,Published,Department,Judge,Judge4Search,PicFileName,Page,AwardRank,Winner,Winner4Search,Title,SubTitle,WinnerArea,WinnerClub1,WinnerClub2,WinnerClub3,WinnerClub4,Area,Place,DayTime,Year,Month,Day,Season,Hour,Min,TimeZone,Weather,Subject,Composition,Camera,Lens,FocalLength,Exposure,WB,ColorMode,Tripod,TriPodHead,DataOfPhoto,Selection Comments,MapLink,OfficialSite,Logic_Advice,Context_Advice
4805,2009N,,,,NT_027.jpg,66,,小村　亨,小村亨,冬隣,,埼玉,日本写真家連盟,フォト彩路,,,福島県下郷町,,2007-12-01 09:00:00,2007,12,255,上旬,9,0,,,田,中　遠,ハッセルブラッド503CW,ディスタゴンCF50ミリ,50,絞り優先AE・f22(+0.7EV),,,三脚,,フジクロームベルビア50,,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B3%B6%E7%9C%8C%E4%B8%8B%E9%83%B7%E7%94%BA%E5%BD%B9%E5%A0%B4,,,
4806,2009N,,,,NT_069.jpg,66,,石川　倭志,石川倭志,炎の舞,,群馬,,,,,群馬県甘楽町,多ヶ良沼,2007-03-23 10:00:00,2007,3,23,,10,0,,,炎　木,近　遠,ニコンF4S,AiAF-SズームニッコールED80-200ミリF2.8D,200,絞り優先AE・f16,,,三脚,,フジクロームベルビア50,,https://www.google.com/maps/search/?api=1&query=%E7%BE%A4%E9%A6%AC%E7%9C%8C%E7%94%98%E6%A5%BD%E7%94%BA%20%E5%A4%9A%E3%83%B6%E8%89%AF%E6%B2%BC,https://www.google.com/search?q=%E7%BE%A4%E9%A6%AC%E7%9C%8C%E7%94%98%E6%A5%BD%E7%94%BA%20%E5%A4%9A%E3%83%B6%E8%89%AF%E6%B2%BC%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
4807,2009N,,,,NT_099.jpg,66,,林　義勝,林義勝,舟屋の夕暮れ,,東京,日本写真家協会,,,,京都府伊根町,,2005-12-21 16:30:00,2005,12,255,下旬,16,30,,,海　船　舟屋,遠,コンタックスRX,バリオゾナーT＊28-70ミリF3.5-4.5,70,絞り優先AE・f8(ｰ1EV),,,三脚,,フジクロームベルビア,,https://www.google.com/maps/search/?api=1&query=%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BC%8A%E6%A0%B9%E7%94%BA%E5%BD%B9%E5%A0%B4,,,
4808,2009N,,,,NT_050.jpg,66,,坂下　茂夫,坂下茂夫,冬日きらめく,,三重,日本風景写真協会,,,,三重県南伊勢市,,2008-02-11 10:30:00,2008,2,255,中旬,10,30,,,干潟,近　中　遠,ペンタックス645N,A645　80-160ミリF4.5,160,絞り優先AE・f22(+0.3EV),,,三脚,,フジクロームベルビア100_CPL,,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E9%87%8D%E7%9C%8C%E5%8D%97%E4%BC%8A%E5%8B%A2%E5%B8%82%E5%BD%B9%E6%89%80,,,
4809,2009N,,,,NT_004.jpg,66,,長岡　裕子,長岡裕子,月照,,長崎,日本風景写真協会,,,,熊本県宇土市,,2006-03-21 03:30:00,2006,3,255,下旬,3,30,,,干潟,中　遠,ペンタックス645N,FA645　80-160ミリF4.5,160,バルブ・157秒(f5.6),,,三脚,,フジクロームベルビア_ハーフND,,https://www.google.com/maps/search/?api=1&query=%E7%86%8A%E6%9C%AC%E7%9C%8C%E5%AE%87%E5%9C%9F%E5%B8%82%E5%BD%B9%E6%89%80,,,
4810,2009N,,,,NT_100.jpg,66,,山梨　勝弘,山梨勝弘,恋路の浜辺,,東京,日本写真家協会,日本風景写真家協会,,,愛知県豊田市,伊良湖岬,2005-02-10 06:50:00,2005,2,10,,6,50,,,海　夕日,近　中　遠,リンホフマスターテヒニカ,CMフジノン180ミリF5.6,180,f8・1/8秒,,,三脚,,フジクロームベルビア,,https://www.google.com/maps/search/?api=1&query=%E6%84%9B%E7%9F%A5%E7%9C%8C%E8%B1%8A%E7%94%B0%E5%B8%82%20%E4%BC%8A%E8%89%AF%E6%B9%96%E5%B2%AC,https://www.google.com/search?q=%E6%84%9B%E7%9F%A5%E7%9C%8C%E8%B1%8A%E7%94%B0%E5%B8%82%20%E4%BC%8A%E8%89%AF%E6%B9%96%E5%B2%AC%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
4811,20080910,リバーサル,前田　晃,前田晃,FK_001.jpg,81,最優秀,小林　健一,小林健一,光ほのか,,栃木,塩谷写真サークルあそぼ,,,,栃木県塩谷町,西荒川,2004-04-25 17:00:00,2004,4,25,,17,0,,晴れ,シロヤシオ　渓谷,近　中　遠,ペンタックス67Ⅱ,67 90ミリF2.8,90,絞り優先AE・f22(ｰ0.3EV),,,ジッツオ,,フジクロームベルビア100_多分割_PL,,https://www.google.com/maps/search/?api=1&query=%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%A1%A9%E8%B0%B7%E7%94%BA%20%E8%A5%BF%E8%8D%92%E5%B7%9D,https://www.google.com/search?q=%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%A1%A9%E8%B0%B7%E7%94%BA%20%E8%A5%BF%E8%8D%92%E5%B7%9D%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
4812,20080910,リバーサル,前田　晃,前田晃,FK_002.jpg,82,優秀,大喜多　みえ子,大喜多みえ子,瀬戸の雨,,愛媛,瀬戸内塾,日本風景写真協会,,,香川県三島市,七宝山,2005-06-28 18:00:00,2005,6,28,,18,0,,夕立,夕焼け,中　遠,ペンタックス645NⅡ,FA645 45ミリF2.8,45,絞り優先AE・f22(0.7秒・ｰ1EV,,,ハスキー,,フジクロームベルビア100_多分割_CPL,,https://www.google.com/maps/search/?api=1&query=%E9%A6%99%E5%B7%9D%E7%9C%8C%E4%B8%89%E5%B3%B6%E5%B8%82%20%E4%B8%83%E5%AE%9D%E5%B1%B1,https://www.google.com/search?q=%E9%A6%99%E5%B7%9D%E7%9C%8C%E4%B8%89%E5%B3%B6%E5%B8%82%20%E4%B8%83%E5%AE%9D%E5%B1%B1%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
4813,20080910,リバーサル,前田　晃,前田晃,FK_003.jpg,83,優秀,河田　よしお,河田よしお,春の湖畔,,埼玉,フォト風彩,,,,栃木県栗山村(現 日光市),,2006-05-05 07:00:00,2006,5,5,,7,0,,晴れ,湖　船　木,中　遠,ニコンF4,AiAFズームニッコール24-120ミリF3.5-5.6D,50,絞り優先AE・f22(1/60秒),,,ジッツオ,マンフロット,フジクロームベルビア100_多分割,,https://www.google.com/maps/search/?api=1&query=%E6%A0%83%E6%9C%A8%E7%9C%8C%E6%A0%97%E5%B1%B1%E6%9D%91%28%E7%8F%BE%20%E6%97%A5%E5%85%89%E5%B8%82%29,,,
4814,20080910,リバーサル,前田　晃,前田晃,FK_004.jpg,84,優秀,片桐　重子,片桐重子,早春アート畑の美,,愛知,春日井フォーカスクラブ,,,,岐阜県可児市,,2008-03-08 07:00:00,2008,3,8,,7,0,,晴れ,木　土,近　中　遠,ペンタックス645NⅡ,FA645 80-160ミリF4.5,100,絞り優先AE・f32(+0.5EV),,,ジッツオ,,フジクロームベルビア100_多分割,,https://www.google.com/maps/search/?api=1&query=%E5%B2%90%E9%98%9C%E7%9C%8C%E5%8F%AF%E5%85%90%E5%B8%82%E5%BD%B9%E6%89%80,,,
4815,20080910,リバーサル,前田　晃,前田晃,FK_005.jpg,85,優秀,丸山　勝泰,丸山勝泰,蒼刻の月,,山形,フォトクラブ時遊人,,,,山形県羽黒町,,2008-03-23 05:15:00,2008,3,23,,5,15,,晴れ,木　月,中　遠,マミヤRZ67プロフェッショナルⅡ,FA645 80-160ミリF4.5,110,絞り優先AE・f16(1/4秒),,,ジッツオ,,フジクロームベルビア50,,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E5%BD%A2%E7%9C%8C%E7%BE%BD%E9%BB%92%E7%94%BA%E5%BD%B9%E5%A0%B4,,,
4816,20080910,リバーサル,前田　晃,前田晃,FK_006.jpg,86,優秀,高橋　由香理,高橋由香理,ようやく春が…,,東京,米 美知子写真教室,,,,山梨県北杜市,実相寺,2008-04-09 08:00:00,2008,4,9,,8,0,,晴れ,サクラ　山,中　遠,ペンタックス645NⅡ,セコールZ110ミリF2.8W,260,f22・1/8秒,,,ベルボン,,フジクロームベルビア100_スポット,,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E6%A2%A8%E7%9C%8C%E5%8C%97%E6%9D%9C%E5%B8%82%20%E5%AE%9F%E7%9B%B8%E5%AF%BA,https://www.google.com/search?q=%E5%B1%B1%E6%A2%A8%E7%9C%8C%E5%8C%97%E6%9D%9C%E5%B8%82%20%E5%AE%9F%E7%9B%B8%E5%AF%BA%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
4817,20080910,リバーサル,前田　晃,前田晃,FK_007.jpg,87,優秀,吉井　康哲,吉井康哲,春の彩り,,岡山,日本風景写真協会,,,,岡山県美咲町,三休公園,2008-04-12 00:00:00,2008,4,12,,255,255,午前,霧,サクラ　ツツジ,中　遠,ペンタックス645NⅡ,FA645 80-160ミリF5.6,107,絞り優先AE・f22(+0.7EV),,,ベルボン,ケンコー,フジクロームベルビア100_多分割,,https://www.google.com/maps/search/?api=1&query=%E5%B2%A1%E5%B1%B1%E7%9C%8C%E7%BE%8E%E5%92%B2%E7%94%BA%20%E4%B8%89%E4%BC%91%E5%85%AC%E5%9C%92,https://www.google.com/search?q=%E5%B2%A1%E5%B1%B1%E7%9C%8C%E7%BE%8E%E5%92%B2%E7%94%BA%20%E4%B8%89%E4%BC%91%E5%85%AC%E5%9C%92%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
4818,20080910,リバーサル,前田　晃,前田晃,FK_008.jpg,88,準優秀,大平　光徳,大平光徳,穏やかな朝,,青森,,,,,青森県,八甲田山麓睡蓮沼付近,2005-07-09 00:00:00,2005,7,9,,255,255,午前,晴れ,湿原　ミズバショウ　木　霧,近　中　遠,ペンタックス645NⅡ,FA645 80-160ミリF4.5,107,f22・1/3秒,,,ジッツオ,アルカスイス,フジクロームベルビア_多分割_CPL,,https://www.google.com/maps/search/?api=1&query=%E9%9D%92%E6%A3%AE%E7%9C%8C%20%E5%85%AB%E7%94%B2%E7%94%B0%E5%B1%B1%E9%BA%93%E7%9D%A1%E8%93%AE%E6%B2%BC%E4%BB%98%E8%BF%91,https://www.google.com/search?q=%E9%9D%92%E6%A3%AE%E7%9C%8C%20%E5%85%AB%E7%94%B2%E7%94%B0%E5%B1%B1%E9%BA%93%E7%9D%A1%E8%93%AE%E6%B2%BC%E4%BB%98%E8%BF%91%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
4819,20080910,リバーサル,前田　晃,前田晃,FK_009.jpg,88,準優秀,前川　悟,前川悟,凛と生きる,,大阪,,,,,長野県下諏訪町,八島湿原付近,2007-07-21 00:00:00,2007,7,255,下旬,255,255,午前,霧,霧　アザミ　木　草,近　中　遠,ペンタックス645NⅡ,FA645 80-160ミリF4.5,ワイド,絞り優先AE・f16(+1EV),,,ベルボン,,フジクロームベルビア100,,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA%20%E5%85%AB%E5%B3%B6%E6%B9%BF%E5%8E%9F%E4%BB%98%E8%BF%91,https://www.google.com/search?q=%E9%95%B7%E9%87%8E%E7%9C%8C%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA%20%E5%85%AB%E5%B3%B6%E6%B9%BF%E5%8E%9F%E4%BB%98%E8%BF%91%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
4820,20080910,リバーサル,前田　晃,前田晃,FK_010.jpg,89,準優秀,斎藤　浩,斎藤浩,若葉のきらめき,,青森,,,,,青森県奥入瀬,渓流雲井の滝,2007-05-16 09:00:00,2007,5,16,,9,0,,晴れ,トチ　滝,遠,ハッセルブラッド503CW,FA645 33ｰ55ミリF4.5,180,f16・1秒,,,ジッツオ,,フジクロームベルビア_ND,,https://www.google.com/maps/search/?api=1&query=%E9%9D%92%E6%A3%AE%E7%9C%8C%E5%A5%A5%E5%85%A5%E7%80%AC%20%E6%B8%93%E6%B5%81%E9%9B%B2%E4%BA%95%E3%81%AE%E6%BB%9D,https://www.google.com/search?q=%E9%9D%92%E6%A3%AE%E7%9C%8C%E5%A5%A5%E5%85%A5%E7%80%AC%20%E6%B8%93%E6%B5%81%E9%9B%B2%E4%BA%95%E3%81%AE%E6%BB%9D%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
4821,20080910,リバーサル,前田　晃,前田晃,FK_011.jpg,89,準優秀,髙岡　英世,髙岡英世,水禍の痕跡,,岩手,写団樹景,,,,岩手県八幡平市,松川渓谷,2007-11-18 08:00:00,2007,11,18,,8,0,,雨,木　渓谷,近　中　遠,ペンタックス645NⅡ,ゾナー180ミリF4,35,絞り優先AE・f22(ｰ0.7EV),,,ジッツオ,,フジクロームフォルティアSP_スポット_CPL,,https://www.google.com/maps/search/?api=1&query=%E5%B2%A9%E6%89%8B%E7%9C%8C%E5%85%AB%E5%B9%A1%E5%B9%B3%E5%B8%82%20%E6%9D%BE%E5%B7%9D%E6%B8%93%E8%B0%B7,https://www.google.com/search?q=%E5%B2%A9%E6%89%8B%E7%9C%8C%E5%85%AB%E5%B9%A1%E5%B9%B3%E5%B8%82%20%E6%9D%BE%E5%B7%9D%E6%B8%93%E8%B0%B7%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
4822,20080910,リバーサル,前田　晃,前田晃,FK_012.jpg,90,準優秀,濱高　達雄,濱高達雄,放射状雲,,石川,サークルBEE,,,,石川県金沢市,河北潟干拓地,2008-02-29 07:00:00,2008,2,29,,7,0,,晴れ,木　雲　空,遠,ペンタックス645N,FA645 35ミリF3.5,45,絞り優先AE・f22(ｰ0.3EV),,,ジッツオ,,フジクロームベルビア100_多分割_CPL,,https://www.google.com/maps/search/?api=1&query=%E7%9F%B3%E5%B7%9D%E7%9C%8C%E9%87%91%E6%B2%A2%E5%B8%82%20%E6%B2%B3%E5%8C%97%E6%BD%9F%E5%B9%B2%E6%8B%93%E5%9C%B0,https://www.google.com/search?q=%E7%9F%B3%E5%B7%9D%E7%9C%8C%E9%87%91%E6%B2%A2%E5%B8%82%20%E6%B2%B3%E5%8C%97%E6%BD%9F%E5%B9%B2%E6%8B%93%E5%9C%B0%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
4823,20080910,リバーサル,前田　晃,前田晃,FK_013.jpg,90,準優秀,たはら　芳明,たはら芳明,農の春,,埼玉,ユーミーPC,,,,新潟県小千谷市塩殿,,2008-04-05 09:00:00,2008,4,5,,9,0,,晴れ,煙　田　自動車,中　遠,ペンタックス645N,FA645 45ｰ85ミリF4.5,142,絞り優先AE・f22(1/60秒・ｰ0.,,,ベルボン,ハスキー,フジクロームベルビア50_多分割,,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E7%9C%8C%E5%B0%8F%E5%8D%83%E8%B0%B7%E5%B8%82%E5%A1%A9%E6%AE%BF,,,
4824,20080910,リバーサル,前田　晃,前田晃,FK_014.jpg,91,準優秀,金武　治,金武治,白駒池の夜明け,,神奈川,写団薬師,,,,長野県佐久穂町,,2007-09-09 05:00:00,2007,9,9,,5,0,,晴れ,池　木　空　月,近　中　遠,ペンタックス645,FA645 80-160ミリF4.5,45,バルブ・18秒(f4),,,ハスキー,,フジクロームベルビア100,,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%E4%BD%90%E4%B9%85%E7%A9%82%E7%94%BA%E5%BD%B9%E5%A0%B4,,,
4825,20080910,リバーサル,前田　晃,前田晃,FK_015.jpg,91,準優秀,竹中　光博,竹中光博,秋の残し物,,神奈川,会津風景写真家連盟,,,,福島県猪苗代町,,2008-01-29 00:00:00,2008,1,29,,255,255,午前,曇り,氷柱　葉,近,ペンタックス645NⅡ,FA645ミリ 120ミリF4マクロ,120,絞り優先AE・f32(2秒・ｰ0.7EV,,,ジッツオ,,フジクロームベルビア50_多分割,,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B3%B6%E7%9C%8C%E7%8C%AA%E8%8B%97%E4%BB%A3%E7%94%BA%E5%BD%B9%E5%A0%B4,,,
4826,20080910,リバーサル,前田　晃,前田晃,FK_016.jpg,92,準優秀,阪口　義一,阪口義一,三色の競演,,奈良,明日香写真クラブ,奈良二科会写真部,,,奈良県天理市,,2008-04-07 09:00:00,2008,4,7,,9,0,,晴れ,モモ　菜の花,近　中　遠,ペンタックス645N,FA645ミリ 200ミリF4,200,シャッター優先AE・1/125秒(f4・,,,ジッツオ,,フジクロームベルビア100_多分割_CPL,,https://www.google.com/maps/search/?api=1&query=%E5%A5%88%E8%89%AF%E7%9C%8C%E5%A4%A9%E7%90%86%E5%B8%82%E5%BD%B9%E6%89%80,,,
4827,20080910,リバーサル,前田　晃,前田晃,FK_017.jpg,92,準優秀,一宮　美穂,一宮美穂,のどけき春,,神奈川,写団薬師,日本写真作家協会,,,神奈川県横浜市,,1999-03-26 07:00:00,1999,3,26,,7,0,,曇り,モモ　草　畑,近　中　遠,キヤノンEOS-1N,EF17-35ミリF2.8L USM,35,絞り優先AE・f22(ｰ0.7EV),,,ベルボン,,フジクロームベルビア_多分割_CPL,,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E5%BD%B9%E6%89%80,,,
4828,20080910,リバーサル,前田　晃,前田晃,FK_018.jpg,93,準優秀,小林　初美,小林初美,光彩,,愛知,春日井中央写友会,,,,長野県松本市乗鞍,乗鞍高原,2007-11-03 14:00:00,2007,11,3,,14,0,,晴れ,カンボク　ススキ,中　遠,ミノルタα-9,ハイスピードAFアポテレズーム80-200ミリF2.8G,中間,絞り優先AE・f8(ｰ0.3EV),,,ジッツオ,,フジクロームベルビア_CPL,,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%E6%9D%BE%E6%9C%AC%E5%B8%82%E4%B9%97%E9%9E%8D%20%E4%B9%97%E9%9E%8D%E9%AB%98%E5%8E%9F,https://www.google.com/search?q=%E9%95%B7%E9%87%8E%E7%9C%8C%E6%9D%BE%E6%9C%AC%E5%B8%82%E4%B9%97%E9%9E%8D%20%E4%B9%97%E9%9E%8D%E9%AB%98%E5%8E%9F%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
4829,20080910,リバーサル,前田　晃,前田晃,FK_019.jpg,93,準優秀,小坂　富男,小坂富男,早春譜,,岩手,写団樹景,,,,岩手県滝沢村,,2006-03-26 07:00:00,2006,3,26,,7,0,,曇り,ザゼンソウ　小川　雪,近　中　遠,ペンタックス645NⅡ,FA645 35ミリF3.5,35,絞り優先AE・f32(ｰ0.3EV),,,ジッツオ,ベルボン,フジクロームベルビア100_CPL,,https://www.google.com/maps/search/?api=1&query=%E5%B2%A9%E6%89%8B%E7%9C%8C%E6%BB%9D%E6%B2%A2%E6%9D%91%E5%BD%B9%E5%A0%B4,,,
4830,20080910,リバーサル,前田　晃,前田晃,FK_020.jpg,94,準優秀,三澤　佳澄,三澤佳澄,一陣の風,,東京,写団薬師,,,,長野県北相木村,大禅の滝,2008-02-28 10:00:00,2008,2,28,,10,0,,晴れ,氷瀑,近　中　遠,ペンタックス645NⅡ,FA645 45ｰ85ミリF4.5,45,絞り優先AE・f22(1/30秒・0.5,,,ベルボン,,フジクロームベルビア100_多分割,,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%E5%8C%97%E7%9B%B8%E6%9C%A8%E6%9D%91%20%E5%A4%A7%E7%A6%85%E3%81%AE%E6%BB%9D,https://www.google.com/search?q=%E9%95%B7%E9%87%8E%E7%9C%8C%E5%8C%97%E7%9B%B8%E6%9C%A8%E6%9D%91%20%E5%A4%A7%E7%A6%85%E3%81%AE%E6%BB%9D%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
4831,20080910,リバーサル,前田　晃,前田晃,FK_021.jpg,94,準優秀,塚本　保,塚本保,凍る川,,愛知,春日井フォーカスクラブ,,,,長野県王滝村,,2008-01-07 08:00:00,2008,1,7,,8,0,,晴れ,氷　川,近,ペンタックス645NⅡ,FA645 45ｰ85ミリF4.5,中間,絞り優先AE・f22(1/8秒・+1EV,,,ハスキー,,フジクロームベルビア100_CPL,,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%E7%8E%8B%E6%BB%9D%E6%9D%91%E5%BD%B9%E5%A0%B4,,,
4832,20080910,リバーサル,前田　晃,前田晃,FK_022.jpg,95,準優秀,町田　国敏,町田国敏,荒れた一日,,埼玉,フォトクラブ遊,,,,福島県猪苗代町,,2008-01-18 16:00:00,2008,1,18,,16,0,,曇り,氷　湖　空　雲,近　中　遠,ペンタックス645NⅡ,FA645 45ｰ85ミリF3.5,35,絞り優先AE・f22(ｰ0.3EV),,,ハスキー,,フジクロームベルビア100_CPL,,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B3%B6%E7%9C%8C%E7%8C%AA%E8%8B%97%E4%BB%A3%E7%94%BA%E5%BD%B9%E5%A0%B4,,,
4833,20080910,リバーサル,前田　晃,前田晃,FK_023.jpg,95,準優秀,臼田　和彦,臼田和彦,冬日射す,,兵庫,ペンタックスファミリー,,,,福井県福井市,越前海岸,2008-01-01 10:00:00,2008,1,1,,10,0,,曇り時々雪,海　岩　ウミウ,遠,ペンタックス67Ⅱ,67 300ミリF4,300,絞り優先AE・f11(ｰ1EV),,,ジッツオ,,フジクロームベルビア100,,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E4%BA%95%E7%9C%8C%E7%A6%8F%E4%BA%95%E5%B8%82%20%E8%B6%8A%E5%89%8D%E6%B5%B7%E5%B2%B8,https://www.google.com/search?q=%E7%A6%8F%E4%BA%95%E7%9C%8C%E7%A6%8F%E4%BA%95%E5%B8%82%20%E8%B6%8A%E5%89%8D%E6%B5%B7%E5%B2%B8%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
4834,20080910,プリント,山口　高志,山口高志,FK_024.jpg,97,最優秀,米田　利昭,米田利昭,雨の日のスケッチ,,富山,写団くろべ,,,,富山県入善町芦崎,墓の木,2008-04-10 09:00:00,2008,4,10,,9,0,,雨,サクラ,面,ペンタックスK10D,ペンタックスK10D,70,絞り優先AE・f5.6(1/60秒・+0,太陽光,,,,四ツ切_JPEG_ISO200,,https://www.google.com/maps/search/?api=1&query=%E5%AF%8C%E5%B1%B1%E7%9C%8C%E5%85%A5%E5%96%84%E7%94%BA%E8%8A%A6%E5%B4%8E%20%E5%A2%93%E3%81%AE%E6%9C%A8,https://www.google.com/search?q=%E5%AF%8C%E5%B1%B1%E7%9C%8C%E5%85%A5%E5%96%84%E7%94%BA%E8%8A%A6%E5%B4%8E%20%E5%A2%93%E3%81%AE%E6%9C%A8%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
4835,20080910,プリント,山口　高志,山口高志,FK_025.jpg,98,優秀,田中　和徳,田中和徳,晩秋の道,,秋田,キヤノンフォトクラブ,,,,岩手県雫石町,,2007-11-14 10:00:00,2007,11,14,,10,0,,晴れ,ススキ,近　中　遠,キヤノンEOS30D,EF70-200ミリF2.8L USM,95,絞り優先AE・f11(1/50秒・ｰ0.,太陽光,,ベルボン,,多分割　四ツ切_CPL　IPEG_ISO100,,https://www.google.com/maps/search/?api=1&query=%E5%B2%A9%E6%89%8B%E7%9C%8C%E9%9B%AB%E7%9F%B3%E7%94%BA%E5%BD%B9%E5%A0%B4,,,
4836,20080910,プリント,山口　高志,山口高志,FK_026.jpg,99,優秀,野口　敬治,野口敬治,残月,,群馬,北毛フォト,ペンタックスファミリー,,,群馬県長野原町,,2008-03-23 05:30:00,2008,3,23,,5,30,,晴れ,月　山　空,遠,キヤノンEOS40D,EF70-300ミリF4-5.6 DO IS USM,中間,絞り優先AE・f13,太陽光,,ジッツオ,,多分割　四ツ切_RAW_ISO100,,https://www.google.com/maps/search/?api=1&query=%E7%BE%A4%E9%A6%AC%E7%9C%8C%E9%95%B7%E9%87%8E%E5%8E%9F%E7%94%BA%E5%BD%B9%E5%A0%B4,,,
4837,20080910,プリント,山口　高志,山口高志,FK_027.jpg,100,優秀,榎本　康子,榎本康子,優しい心,,東京,写団薬師,,,,栃木県足利市富田町,足利フラワーセンター,2004-05-06 09:00:00,2004,5,6,,9,0,,曇り,フジ,近　中,ペンタックス645N,FA645 80-160ミリF4.5,142,絞り優先AE・f5.6(1/30秒・+0,,,ベルボン,,フジクローム64TタイプⅡプロ_多分割　四ツ切,,https://www.google.com/maps/search/?api=1&query=%E6%A0%83%E6%9C%A8%E7%9C%8C%E8%B6%B3%E5%88%A9%E5%B8%82%E5%AF%8C%E7%94%B0%E7%94%BA%20%E8%B6%B3%E5%88%A9%E3%83%95%E3%83%A9%E3%83%AF%E3%83%BC%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,https://www.google.com/search?q=%E6%A0%83%E6%9C%A8%E7%9C%8C%E8%B6%B3%E5%88%A9%E5%B8%82%E5%AF%8C%E7%94%B0%E7%94%BA%20%E8%B6%B3%E5%88%A9%E3%83%95%E3%83%A9%E3%83%AF%E3%83%BC%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
4838,20080910,プリント,山口　高志,山口高志,FK_028.jpg,101,準優秀,諸谷　三代次,諸谷三代次,満開の朝,,石川,写団in信州,フォトクラブ瞬,,,石川県金沢市,,2008-04-09 07:30:00,2008,4,9,,7,30,,晴れ,サクラ　石畳　人物,中　遠,ニコンD300,AF-S DX VRズームニッコールED 18-200ミリF3.5-5.6G,24,絞り優先AE・f8(1/100秒・ｰ0.,晴天,,,,エプソンPX-G5000_A4　多分割_IPEG_ISO200,,https://www.google.com/maps/search/?api=1&query=%E7%9F%B3%E5%B7%9D%E7%9C%8C%E9%87%91%E6%B2%A2%E5%B8%82%E5%BD%B9%E6%89%80,,,
4839,20080910,プリント,山口　高志,山口高志,FK_029.jpg,101,準優秀,石山　昭治,石山昭治,秋の渓谷,,埼玉,写団北斗,日本風景写真協会,,,埼玉県,,2007-12-07 13:00:00,2007,12,7,,13,0,,曇り,渓谷　モミジ,中　遠,ニコンD200,AF-S DX VRズームニッコールED 18-200ミリF3.5-5.6G,60,絞り優先AE・f18,晴天,,ベルボン,,キヤノンPIXUSiP7500_A4_JPEG　CPL_ISO125,,https://www.google.com/maps/search/?api=1&query=%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%BA%81,,,
